root_id,analysis_body_ids,analysis_instances,analysis_hemispheres,analysis_neuropils,primary_flywire_name,comparison_name,recommended_match_group,hemibrain_type_names,hemibrain_family_names,all_names,cell_type,hemibrain_type,user_tags,flow,super_class,cell_class,cell_sub_class,morphology_group,side,top_nt,top_nt_conf,known_nt,known_nt_source
720575940629324791,7205759406293247912,CB1824_R,R,AL_R,CB1824,CB1824,CB1824,,,AL local neuron;ALLN;CB1824,CB1824,,"AL local neuron,ALLN",intrinsic,central,ALLN,,ALl1_dorsal__0,right,gaba,0.4929229636615432,,
720575940640258613,7205759406402586132,CB1824_R,R,AL_R,CB1824,CB1824,CB1824,,,AL local neuron;ALLN;CB1824,CB1824,,"AL local neuron,ALLN",intrinsic,central,ALLN,,ALl1_dorsal__0,right,gaba,0.6005615237464692,,
720575940625630212,7205759406256302121,CB2345_L,L,AL_L,CB2345,CB2345,CB2345,,,AL local neuron;ALLN;ALv2;CB2345;glutamate;right,CB2345,,"AL local neuron,ALLN;ALv2; right; glutamate",intrinsic,central,ALLN,,ALv2__1,left,glutamate,0.6029092110788632,,
720575940628933275,7205759406289332752,CB2345_R,R,AL_R,CB2345,CB2345,CB2345,,,AL local neuron;ALLN;ALv2;CB2345;glutamate;left,CB2345,,"AL local neuron,ALLN;ALv2; left; glutamate",intrinsic,central,ALLN,,ALv2__1,right,glutamate,0.6568764383324928,,
720575940643869988,7205759406438699881,CB2345_L,L,AL_L,CB2345,CB2345,CB2345,,,AL local neuron;ALLN;ALv2;CB2345;right,CB2345,,"AL local neuron,ALLN;ALv2; right",intrinsic,central,ALLN,,ALv2__1,left,glutamate,0.4731592253480289,,
720575940616198587,7205759406161985872,CB2471_R,R,AL_R,CB2471,CB2471,CB2471,,,AL local neuron;ALLN;CB2471,CB2471,,"AL local neuron,ALLN",intrinsic,central,ALLN,,ALl1_dorsal__0,right,gaba,0.336166302872166,,
720575940620400116,7205759406204001161,CB2471_L,L,AL_L,CB2471,CB2471,CB2471,,,AL local neuron;ALLN;CB2471,CB2471,,"AL local neuron,ALLN",intrinsic,central,ALLN,,ALl1_dorsal__0,left,acetylcholine,0.3249828852619149,,
720575940631978956,7205759406319789562,CB2471_R,R,AL_R,CB2471,CB2471,CB2471,,,AL local neuron;ALLN;CB2471,CB2471,,"AL local neuron,ALLN",intrinsic,central,ALLN,,ALl1_dorsal__0,right,gaba,0.4275286639088988,,
720575940638844504,7205759406388445042,CB2471_R,R,AL_R,CB2471,CB2471,CB2471,,,AL local neuron;ALLN;CB2471,CB2471,,"AL local neuron,ALLN",intrinsic,central,ALLN,,ALl1_dorsal__0,right,gaba,0.4269771769954512,,
720575940640060112,7205759406400601121;7205759406400601122,CB2471_L;CB2471_R,L;R,AL_L;AL_R,CB2471,CB2471,CB2471,,,AL local neuron;ALLN;CB2471,CB2471,,"AL local neuron,ALLN",intrinsic,central,ALLN,,ALl1_dorsal__0,left,acetylcholine,0.3537882848751856,,
720575940614871336,7205759406148713361;7205759406148713362,CB2504_L;CB2504_R,L;R,AL_L;AL_R,CB2504,CB2504,CB2504,,,AL local neuron;ALLN;CB2504,CB2504,,"AL local neuron,ALLN",intrinsic,central,ALLN,,ALl1_dorsal__0,left,gaba,0.4216813878367966,,
720575940635689829,7205759406356898292,CB2504_R,R,AL_R,CB2504,CB2504,CB2504,,,AL local neuron;ALLN;CB2504,CB2504,,"AL local neuron,ALLN",intrinsic,central,ALLN,,ALl1_dorsal__0,right,glutamate,0.3506331527883192,,
720575940640364085,7205759406403640851,CB2504_L,L,AL_L,CB2504,CB2504,CB2504,,,AL local neuron;ALLN;CB2504,CB2504,,"AL local neuron,ALLN",intrinsic,central,ALLN,,ALl1_dorsal__0,left,gaba,0.5092587899866644,,
720575940610680274,7205759406106802741,CB2527_L,L,AL_L,CB2527,CB2527,CB2527,,,AL local neuron;ALLN;ALv2;CB2527;glutamate;right,CB2527,,"AL local neuron,ALLN;ALv2; right; glutamate",intrinsic,central,ALLN,,ALv2__1,left,glutamate,0.5027632904877367,,
720575940612049459,7205759406120494592,CB2527_R,R,AL_R,CB2527,CB2527,CB2527,,,AL local neuron;ALLN;ALv2;CB2527;glutamate;left,CB2527,,"AL local neuron,ALLN;ALv2; left; glutamate",intrinsic,central,ALLN,,ALv2__1,right,glutamate,0.4823242011903956,,
