target_group,bodyId_pre,bodyId_post,weight,type_pre,type_post,instance_pre,instance_post,conn_roiInfo,target_type,target_instance
PD2a1_b1,1889253763,571666400,4,VM7v_adPN,LHPD2b1_b,VM7v_adPN_R,LHPD2b1_b_R,"{'LH(R)': {'pre': 4, 'post': 4}}",LHPD2b1_b,LHPD2b1_b_R
PD2a1_b1,1977916288,573329304,4,VM3_adPN,LHPD2a1,VM3_adPN_R,LHPD2a1_R,"{'LH(R)': {'pre': 4, 'post': 4}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,5813039315,5813089504,4,DA1_lPN,LHPD2b1_a,DA1_lPN_R,LHPD2b1_a_R,"{'MB(R)': {'pre': 4, 'post': 4}, 'CA(R)': {'pre': 4, 'post': 4}, 'MB(+ACA)(R)': {'pre': 4, 'post': 4}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,693125078,571666400,3,VC3l_adPN,LHPD2b1_b,VC3l_adPN_R,LHPD2b1_b_R,"{'LH(R)': {'pre': 3, 'post': 3}}",LHPD2b1_b,LHPD2b1_b_R
PD2a1_b1,693483018,571666400,3,DL5_adPN,LHPD2b1_b,DL5_adPN_R,LHPD2b1_b_R,"{'MB(R)': {'pre': 3, 'post': 3}, 'CA(R)': {'pre': 3, 'post': 3}, 'MB(+ACA)(R)': {'pre': 3, 'post': 3}}",LHPD2b1_b,LHPD2b1_b_R
PD2a1_b1,788648194,542634516,3,DL2d_adPN,LHPD2a1,DL2d_adPN_R,LHPD2a1_R,"{'LH(R)': {'pre': 3, 'post': 3}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,788648194,548872750,3,DL2d_adPN,LHPD2b1_a,DL2d_adPN_R,LHPD2b1_a_R,"{'MB(R)': {'pre': 3, 'post': 3}, 'CA(R)': {'pre': 3, 'post': 3}, 'MB(+ACA)(R)': {'pre': 3, 'post': 3}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,1850706912,548872750,3,VC2_lPN,LHPD2b1_a,VC2_lPN_R,LHPD2b1_a_R,"{'MB(R)': {'pre': 3, 'post': 3}, 'CA(R)': {'pre': 3, 'post': 3}, 'MB(+ACA)(R)': {'pre': 3, 'post': 3}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,1851389175,573329304,3,VM3_adPN,LHPD2a1,VM3_adPN_R,LHPD2a1_R,"{'LH(R)': {'pre': 3, 'post': 3}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,1858171399,5813089504,3,DC3_adPN,LHPD2b1_a,DC3_adPN_R,LHPD2b1_a_R,"{'mALT(R)': {'pre': 1, 'post': 1}, 'MB(R)': {'pre': 2, 'post': 2}, 'CA(R)': {'pre': 2, 'post': 2}, 'MB(+ACA)(R)': {'pre': 2, 'post': 2}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,1977579449,509928512,3,VA2_adPN,LHPD2b1_a,VA2_adPN_R,LHPD2b1_a_R,"{'MB(R)': {'pre': 3, 'post': 3}, 'CA(R)': {'pre': 3, 'post': 3}, 'MB(+ACA)(R)': {'pre': 3, 'post': 3}}",LHPD2b1_a,LHPD2b1_a_R
